lag_bins,lag_points,lag_ppm,across_spectra_signed,across_spectra_absmean,within_spectrum_autocorr
321,10272,0.9404296875,0.5113239039544235,0.6194250976586055,0.021209134519841296
322,10304,0.943359375,0.5085048849477893,0.6182100424018541,0.020323120947193345
323,10336,0.9462890625,0.5060645960748698,0.6164373745539764,0.019524729486375358
324,10368,0.94921875,0.5044196007189667,0.6151892679992008,0.01842860887751461
325,10400,0.9521484375,0.5036007011853193,0.614692698863697,0.01858918751371401
326,10432,0.955078125,0.5032908671932375,0.6145152135999333,0.018941019780603887
327,10464,0.9580078125,0.5030937310029818,0.6136515151859774,0.019349984997588256
328,10496,0.9609375,0.5026167090422015,0.6127199657092609,0.019381964065490732
329,10528,0.9638671875,0.5024874860604073,0.6117814772032947,0.019516760651644587
330,10560,0.966796875,0.5021590431677653,0.6115143982145357,0.019376626899163203
331,10592,0.9697265625,0.5018889048822069,0.6112992579801373,0.019388051159206575
332,10624,0.97265625,0.5024738892978434,0.6111155206013165,0.020988460412934416
333,10656,0.9755859375,0.5034686033917453,0.6109545066906183,0.022117971893372022
334,10688,0.978515625,0.5035968716353451,0.6104666567290588,0.02207490410461881
335,10720,0.9814453125,0.5039949442478915,0.6099818810859878,0.022532098923651146
336,10752,0.984375,0.5046953908621468,0.6099224715411244,0.022128061090788385
337,10784,0.9873046875,0.5061378015891909,0.6093429368983743,0.022253590819874325
338,10816,0.990234375,0.507764483976106,0.609005423739419,0.023915945405511254
339,10848,0.9931640625,0.5090322620598775,0.6093030548084424,0.026369015099511492
340,10880,0.99609375,0.5109646952028667,0.6094319278664273,0.028507014642394798
341,10912,0.9990234375,0.5121661146744311,0.6096950960582641,0.03085109566326805
342,10944,1.001953125,0.5125347071319729,0.6091915433546301,0.03275015173895913
343,10976,1.0048828125,0.5132703106071917,0.6084949055937224,0.034667837688125515
344,11008,1.0078125,0.514287974972333,0.6081780908468338,0.035987670142205073
345,11040,1.0107421875,0.5156897765102224,0.6076190372062392,0.03649541852232759
346,11072,1.013671875,0.5166133719092981,0.6069070855325517,0.03718604419689286
347,11104,1.0166015625,0.518423646113501,0.6069919695765735,0.037917870298257314
348,11136,1.01953125,0.5192672569188412,0.6067592036008671,0.038221182458242894
349,11168,1.0224609375,0.5197929564498194,0.606402001095273,0.03851771797832539
350,11200,1.025390625,0.5203960473012977,0.6063715834558352,0.03723911501317277
351,11232,1.0283203125,0.5213354439955037,0.6063546635427114,0.03718759307258109
352,11264,1.03125,0.5223183704182488,0.6064656016916053,0.03793958793952591
353,11296,1.0341796875,0.5226986136889282,0.6072227247884145,0.038011710286972214
354,11328,1.037109375,0.5229781190948632,0.607799090720569,0.04027105193356956
355,11360,1.0400390625,0.5230647263206255,0.607734911447661,0.041726087160688714
356,11392,1.04296875,0.522908882877779,0.6079491122046234,0.042039117792153836
357,11424,1.0458984375,0.52288895390208,0.608742575661902,0.04389487591370819
358,11456,1.048828125,0.5218438152432477,0.6089535737609755,0.041995040712659235
359,11488,1.0517578125,0.5205865287332019,0.6087785616380066,0.03984281003407252
360,11520,1.0546875,0.5201561627050637,0.6092500283770456,0.04028906954112392
